teacher,mode,entropy_threshold,blimp,supplement,ewok,glue_boolq,glue_mrpc,glue_multirc,glue_qqp,glue_avg
GPT-2,Scratch,,0.685,0.549,0.5054,0.6575,0.8152,0.6445,0.722,0.7098
GPT-2,Full KD,,0.6946,0.5499,0.5027,0.673,0.8118,0.64,0.7375,0.7156
GPT-2,Selective KD,0.5,0.6964,0.5523,0.506,0.6725,0.8169,0.646,0.7295,0.7162
GPT-2,Selective KD,1.0,0.6967,0.5567,0.509,0.68,0.8031,0.649,0.7345,0.7167
GPT-2,Selective KD,1.5,0.6903,0.5581,0.5065,0.6705,0.8161,0.6175,0.737,0.7103
GPT-2,Selective KD,2.0,0.6927,0.5503,0.497,0.672,0.8144,0.624,0.73,0.7101
Qwen2-0.5B,Scratch,,0.6144,0.5563,0.5146,0.675,0.8125,0.639,0.7175,0.711
Qwen2-0.5B,Full KD,,0.6454,0.5407,0.5085,0.6475,0.8174,0.6325,0.729,0.7066
Qwen2-0.5B,Selective KD,0.5,0.6347,0.5444,0.5169,0.6575,0.8106,0.6455,0.7255,0.7098
Qwen2-0.5B,Selective KD,1.0,0.6413,0.5688,0.5184,0.662,0.8211,0.629,0.7195,0.7079
Qwen2-0.5B,Selective KD,1.5,0.6444,0.539,0.5196,0.6585,0.819,0.631,0.733,0.7104
Qwen2-0.5B,Selective KD,2.0,0.6502,0.549,0.5227,0.666,0.8122,0.6455,0.722,0.7114
Gemma-3-270m,Scratch,,0.6472,0.548,0.5103,0.625,0.822,0.611,0.722,0.695
Gemma-3-270m,Full KD,,0.6568,0.5308,0.5174,0.6635,0.8191,0.6005,0.7125,0.6989
Gemma-3-270m,Selective KD,0.5,0.6461,0.5288,0.5181,0.669,0.8085,0.6435,0.721,0.7105
Gemma-3-270m,Selective KD,1.0,0.6436,0.5436,0.5072,0.6745,0.8146,0.6335,0.728,0.7127
Gemma-3-270m,Selective KD,1.5,0.6391,0.555,0.5143,0.6585,0.8176,0.658,0.7295,0.7159
Gemma-3-270m,Selective KD,2.0,0.6342,0.5406,0.5175,0.6635,0.8172,0.636,0.721,0.7094
