teacher,mode,entropy_threshold,blimp,supplement,ewok,glue_boolq,glue_mrpc,glue_multirc,glue_qqp,glue_avg,train_time
GPT-2,Scratch,,0.6807,0.5319,0.5046,0.6855,0.8147,0.64,0.732,0.7181,00:27:55
GPT-2,Full KD,,0.708,0.5495,0.5127,0.687,0.8191,0.6295,0.7365,0.718,00:27:01
GPT-2,Selective KD,0.5,0.6996,0.5581,0.5058,0.675,0.814,0.6325,0.7405,0.7155,00:27:52
GPT-2,Selective KD,1.0,0.6998,0.5727,0.5076,0.6815,0.7994,0.649,0.728,0.7145,00:27:36
GPT-2,Selective KD,1.5,0.6984,0.5625,0.5031,0.694,0.8161,0.592,0.7345,0.7092,00:27:56
GPT-2,Selective KD,2.0,0.7015,0.5445,0.5056,0.6735,0.82,0.6495,0.714,0.7142,00:27:48
Qwen2-0.5B,Scratch,,0.6018,0.5441,0.5179,0.662,0.8182,0.625,0.723,0.707,00:54:08
Qwen2-0.5B,Full KD,,0.634,0.5498,0.5199,0.662,0.8175,0.635,0.741,0.7139,00:52:39
Qwen2-0.5B,Selective KD,0.5,0.6216,0.5536,0.5174,0.665,0.8182,0.63,0.73,0.7108,00:54:20
Qwen2-0.5B,Selective KD,1.0,0.6166,0.5475,0.5061,0.6655,0.8146,0.6405,0.715,0.7089,01:07:07
Qwen2-0.5B,Selective KD,1.5,0.6232,0.5445,0.5143,0.651,0.8152,0.6335,0.7145,0.7035,01:12:35
Qwen2-0.5B,Selective KD,2.0,0.6185,0.5532,0.505,0.665,0.8183,0.6285,0.7215,0.7083,01:05:58
Gemma-3-270m,Scratch,,0.6252,0.5125,0.5194,0.654,0.7949,0.6345,0.7215,0.7012,01:44:00
Gemma-3-270m,Full KD,,0.631,0.5416,0.5112,0.649,0.8122,0.6335,0.713,0.7019,01:44:01
Gemma-3-270m,Selective KD,0.5,0.6297,0.5356,0.5132,0.6715,0.8178,0.6145,0.727,0.7077,01:38:23
Gemma-3-270m,Selective KD,1.0,0.6359,0.5679,0.5189,0.66,0.8089,0.635,0.723,0.7067,01:37:32
Gemma-3-270m,Selective KD,1.5,0.6296,0.5394,0.518,0.67,0.8175,0.626,0.727,0.7101,01:39:02
Gemma-3-270m,Selective KD,2.0,0.6326,0.5402,0.5257,0.6585,0.8201,0.6455,0.7075,0.7079,01:38:32
